Format Version,1.1,Take Name,push ,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-04-06 03.26.00.419 PM,Total Frames,176,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031523,-0.872969,-0.396335,-0.282577,-1.269829,1.727805,-0.047659,0.000509,-0.049604,0.020154,-0.005023,0.856269,-0.027515,-0.010959,0.019442,0.934191,0.077118,-0.009195,-0.014419,0.828027,-1.999519,0.844348,0.410887,-2.067244,0.850362,0.187851,-1.503655,1.171684,-0.563955,-1.460459,1.152467,-0.525700,-2.077370,0.865634,0.325481,-1.235763,1.729665,-0.005476,-1.234700,1.729457,-0.050940,-1.339026,1.724292,-0.086579,,,,,,,,,,,,,,,
7,0.058333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031115,-0.873193,-0.396199,-0.282122,-1.269757,1.727835,-0.047769,0.000489,-0.049604,0.020154,-0.005023,0.861578,-0.027515,-0.010959,0.019442,0.937582,0.077118,-0.009195,-0.014419,0.834128,-1.999449,0.844364,0.410889,-2.067227,0.850344,0.187855,-1.502170,1.174412,-0.562078,-1.459265,1.154047,-0.524001,-2.077364,0.865638,0.325482,-1.235649,1.729688,-0.005638,-1.234632,1.729471,-0.051092,-1.338990,1.724346,-0.086592,,,,,,,,,,,,,,,
8,0.066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030726,-0.873385,-0.396118,-0.281684,-1.269710,1.727862,-0.047903,0.000508,-0.049604,0.020154,-0.005023,0.861578,-0.027515,-0.010959,0.019442,0.937582,0.077118,-0.009195,-0.014419,0.834128,-1.999548,0.844342,0.410900,-2.067265,0.850338,0.187841,-1.500476,1.177241,-0.560066,-1.457960,1.155853,-0.522173,-2.077414,0.865636,0.325452,-1.235541,1.729707,-0.005786,-1.234598,1.729483,-0.051288,-1.338989,1.724396,-0.086647,,,,,,,,,,,,,,,
9,0.075000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030295,-0.873560,-0.396126,-0.281176,-1.269660,1.727891,-0.048031,0.000499,-0.049604,0.020154,-0.005023,0.852641,-0.027515,-0.010959,0.019442,0.933739,0.077118,-0.009195,-0.014419,0.832838,-1.999634,0.844312,0.410907,-2.067265,0.850343,0.187835,-1.498605,1.180288,-0.558010,-1.456456,1.157891,-0.520133,-2.077418,0.865615,0.325433,-1.235462,1.729718,-0.005953,-1.234537,1.729500,-0.051484,-1.338975,1.724453,-0.086665,,,,,,,,,,,,,,,
10,0.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029569,-0.873876,-0.395694,-0.280878,-1.269617,1.727946,-0.048191,0.000482,-0.049604,0.020154,-0.005023,0.854279,-0.027515,-0.010959,0.019442,0.931921,0.077118,-0.009195,-0.014419,0.839905,-1.999522,0.844364,0.410923,-2.067250,0.850351,0.187842,-1.496619,1.183409,-0.555721,-1.454809,1.160170,-0.518094,-2.077384,0.865626,0.325471,-1.235361,1.729756,-0.006129,-1.234530,1.729506,-0.051723,-1.338944,1.724577,-0.086720,,,,,,,,,,,,,,,
11,0.091667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029106,-0.874089,-0.395533,-0.280492,-1.269570,1.727979,-0.048345,0.000488,-0.049604,0.020154,-0.005023,0.849486,-0.027515,-0.010959,0.019442,0.935158,0.077118,-0.009195,-0.014419,0.853526,-1.999561,0.844339,0.410890,-2.067259,0.850359,0.187852,-1.494457,1.186679,-0.553419,-1.453077,1.162563,-0.515795,-2.077316,0.865652,0.325481,-1.235271,1.729777,-0.006302,-1.234488,1.729517,-0.051940,-1.338933,1.724645,-0.086785,,,,,,,,,,,,,,,
12,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028638,-0.874374,-0.395347,-0.279912,-1.269533,1.728022,-0.048503,0.000474,-0.049604,0.020154,-0.005023,0.844522,-0.027515,-0.010959,0.019442,0.935167,0.077118,-0.009195,-0.014419,0.864460,-1.999530,0.844345,0.410902,-2.067235,0.850356,0.187835,-1.492118,1.189983,-0.550984,-1.451228,1.165154,-0.513340,-2.077409,0.865610,0.325488,-1.235169,1.729817,-0.006506,-1.234472,1.729541,-0.052166,-1.338935,1.724709,-0.086827,,,,,,,,,,,,,,,
13,0.108333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028231,-0.874667,-0.395210,-0.279230,-1.269502,1.728065,-0.048682,0.000455,-0.049604,0.020154,-0.005023,0.846380,-0.027515,-0.010959,0.019442,0.939439,0.077118,-0.009195,-0.014419,0.873189,-1.999535,0.844340,0.410893,-2.067257,0.850354,0.187843,-1.489731,1.193211,-0.548398,-1.449217,1.167774,-0.510884,-2.077326,0.865633,0.325498,-1.235070,1.729863,-0.006741,-1.234464,1.729573,-0.052412,-1.338946,1.724761,-0.086879,,,,,,,,,,-2.186857,0.852687,0.141507,,,
14,0.116667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027901,-0.874929,-0.394966,-0.278787,-1.269457,1.728097,-0.048872,0.000445,-0.049604,0.020154,-0.005023,0.849213,-0.027515,-0.010959,0.019442,0.943428,0.077118,-0.009195,-0.014419,0.873283,-1.999587,0.844333,0.410914,-2.067218,0.850349,0.187845,-1.487380,1.196441,-0.545811,-1.447192,1.170218,-0.508411,-2.077336,0.865618,0.325453,-1.234963,1.729902,-0.006985,-1.234434,1.729590,-0.052630,-1.338946,1.724801,-0.086991,,,,,,,,,,-2.186494,0.852300,0.141466,,,
15,0.125000,0.339701,0.191150,-0.905979,-0.165126,-1.500521,1.190504,-0.519207,0.000639,0.048675,-0.000659,0.053843,0.784564,0.006057,0.000377,-0.030025,0.814213,-0.054732,0.000282,-0.023818,0.921765,,,,,,,,,,,,,,,,,,,,,0.027445,-0.875136,-0.394929,-0.278235,-1.269418,1.728141,-0.049044,0.000403,-0.049604,0.020154,-0.005023,0.860345,-0.027515,-0.010959,0.019442,0.950611,0.077118,-0.009195,-0.014419,0.887159,-1.999592,0.844329,0.410901,-2.067241,0.850343,0.187810,,,,,,,-2.077351,0.865642,0.325488,-1.234891,1.729931,-0.007227,-1.234404,1.729620,-0.052854,-1.338933,1.724874,-0.087041,-1.571242,1.199437,-0.508664,-1.485070,1.199629,-0.543075,-1.445238,1.172438,-0.505871,-2.186545,0.852209,0.141430,,,
