Format Version,1.1,Take Name,sdf,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-04-06 03.27.24.017 PM,Total Frames,267,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.560461,0.724964,0.192103,-0.351293,-0.692246,0.826284,0.339944,0.000718,0.048675,-0.000659,0.053843,0.744974,0.006057,0.000377,-0.030025,0.855753,-0.054732,0.000282,-0.023818,0.860864,0.309422,-0.328073,-0.587193,0.672183,-0.088436,0.800345,0.222696,0.000400,0.032971,-0.001283,0.048825,0.920175,-0.073681,0.000913,-0.020616,0.905988,0.040710,0.000371,-0.028209,0.874197,-0.513837,-0.447087,0.143796,0.717919,-0.435693,1.735937,0.147680,0.000234,-0.049604,0.020154,-0.005023,0.936018,-0.027515,-0.010959,0.019442,0.973864,0.077118,-0.009195,-0.014419,0.914923,-0.736444,0.774252,0.317484,-0.671737,0.823944,0.362209,-0.668497,0.880722,0.340173,-0.125516,0.766021,0.253318,-0.078306,0.873898,0.205502,-0.061477,0.761124,0.209259,-0.454672,1.708358,0.105206,-0.468869,1.724823,0.144956,-0.383554,1.774630,0.192882,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.561545,0.724051,0.186358,-0.354524,-0.689031,0.827414,0.342852,0.000759,0.048675,-0.000659,0.053843,0.737493,0.006057,0.000377,-0.030025,0.841212,-0.054732,0.000282,-0.023818,0.852121,0.308538,-0.323676,-0.589289,0.672887,-0.086908,0.799724,0.219778,0.000379,0.032971,-0.001283,0.048825,0.928751,-0.073681,0.000913,-0.020616,0.907759,0.040710,0.000371,-0.028209,0.879224,-0.516727,-0.446879,0.143741,0.715982,-0.434994,1.735659,0.145606,0.000197,-0.049604,0.020154,-0.005023,0.935330,-0.027515,-0.010959,0.019442,0.986531,0.077118,-0.009195,-0.014419,0.930703,-0.732765,0.774786,0.320914,-0.668575,0.825499,0.365123,-0.665693,0.882019,0.342552,-0.123701,0.765224,0.250545,-0.076929,0.873371,0.202850,-0.060087,0.760585,0.205930,-0.453879,1.707875,0.103250,-0.468288,1.724582,0.142886,-0.382826,1.774516,0.190684,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.563052,0.722579,0.180690,-0.358055,-0.685749,0.828531,0.345651,0.000787,0.048675,-0.000659,0.053843,0.737493,0.006057,0.000377,-0.030025,0.841212,-0.054732,0.000282,-0.023818,0.852121,0.307665,-0.319507,-0.590985,0.673791,-0.085370,0.799067,0.217008,0.000387,0.032971,-0.001283,0.048825,0.928751,-0.073681,0.000913,-0.020616,0.907759,0.040710,0.000371,-0.028209,0.879224,-0.517456,-0.446668,0.144886,0.715357,-0.434160,1.735354,0.143618,0.000250,-0.049604,0.020154,-0.005023,0.935330,-0.027515,-0.010959,0.019442,0.986531,0.077118,-0.009195,-0.014419,0.930703,-0.728946,0.775313,0.324258,-0.665310,0.827005,0.367956,-0.662918,0.883353,0.344780,-0.121883,0.764415,0.247931,-0.075592,0.872788,0.200318,-0.058627,0.760006,0.202767,-0.453112,1.707417,0.101355,-0.467303,1.724283,0.140959,-0.382075,1.774361,0.188547,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.564229,0.721165,0.175521,-0.361607,-0.682562,0.829575,0.348231,0.000819,0.048675,-0.000659,0.053843,0.720977,0.006057,0.000377,-0.030025,0.836625,-0.054732,0.000282,-0.023818,0.851883,0.306800,-0.315077,-0.592975,0.674523,-0.083854,0.798321,0.214371,0.000411,0.032971,-0.001283,0.048825,0.925603,-0.073681,0.000913,-0.020616,0.906079,0.040710,0.000371,-0.028209,0.877838,-0.522929,-0.446498,0.143454,0.711763,-0.433402,1.735018,0.141530,0.000203,-0.049604,0.020154,-0.005023,0.941372,-0.027515,-0.010959,0.019442,0.964690,0.077118,-0.009195,-0.014419,0.906639,-0.725308,0.775784,0.327383,-0.662129,0.828470,0.370524,-0.660181,0.884546,0.346825,-0.120096,0.763533,0.245445,-0.074260,0.872114,0.197969,-0.057199,0.759323,0.199692,-0.452244,1.706794,0.099489,-0.466712,1.724054,0.138722,-0.381265,1.774204,0.186382,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.565608,0.719308,0.171035,-0.365282,-0.679273,0.830683,0.350689,0.000762,0.048675,-0.000659,0.053843,0.717010,0.006057,0.000377,-0.030025,0.826828,-0.054732,0.000282,-0.023818,0.841549,0.306643,-0.311174,-0.594890,0.674719,-0.082399,0.797560,0.211981,0.000338,0.032971,-0.001283,0.048825,0.915509,-0.073681,0.000913,-0.020616,0.902498,0.040710,0.000371,-0.028209,0.873741,-0.527422,-0.446179,0.142328,0.708868,-0.432575,1.734682,0.139514,0.000236,-0.049604,0.020154,-0.005023,0.929500,-0.027515,-0.010959,0.019442,0.983218,0.077118,-0.009195,-0.014419,0.934665,-0.721586,0.776306,0.330377,-0.658824,0.829926,0.372962,-0.657342,0.885890,0.348765,-0.118386,0.762584,0.243074,-0.072906,0.871487,0.195913,-0.055900,0.758613,0.196952,-0.451298,1.706243,0.097675,-0.466051,1.723808,0.136604,-0.380381,1.773997,0.184267,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.566575,0.718162,0.165702,-0.368482,-0.676061,0.831705,0.352938,0.000808,0.048675,-0.000659,0.053843,0.728705,0.006057,0.000377,-0.030025,0.836148,-0.054732,0.000282,-0.023818,0.863857,0.306614,-0.307379,-0.596480,0.675069,-0.080931,0.796718,0.209748,0.000305,0.032971,-0.001283,0.048825,0.934937,-0.073681,0.000913,-0.020616,0.914354,0.040710,0.000371,-0.028209,0.897541,-0.529769,-0.446573,0.142223,0.706887,-0.431549,1.734292,0.137563,0.000230,-0.049604,0.020154,-0.005023,0.929723,-0.027515,-0.010959,0.019442,0.963911,0.077118,-0.009195,-0.014419,0.929265,-0.717907,0.776854,0.333152,-0.655623,0.831315,0.375251,-0.654577,0.887036,0.350453,-0.116658,0.761551,0.240854,-0.071579,0.870739,0.194006,-0.054552,0.757863,0.194382,-0.450213,1.705658,0.095831,-0.464976,1.723452,0.134592,-0.379466,1.773767,0.182270,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.567581,0.716313,0.161560,-0.372353,-0.672765,0.832756,0.355121,0.000743,0.048675,-0.000659,0.053843,0.738239,0.006057,0.000377,-0.030025,0.844898,-0.054732,0.000282,-0.023818,0.859829,0.307488,-0.304056,-0.597476,0.675296,-0.079520,0.795885,0.207711,0.000356,0.032971,-0.001283,0.048825,0.939333,-0.073681,0.000913,-0.020616,0.897531,0.040710,0.000371,-0.028209,0.896387,-0.535423,-0.446546,0.140135,0.703051,-0.430617,1.733893,0.135535,0.000361,-0.049604,0.020154,-0.005023,0.907835,-0.027515,-0.010959,0.019442,0.914261,0.077118,-0.009195,-0.014419,0.906915,-0.714270,0.777346,0.335873,-0.652246,0.832764,0.377419,-0.651719,0.888227,0.352103,-0.115078,0.760491,0.238778,-0.070338,0.869960,0.192346,-0.053138,0.757202,0.192004,-0.449144,1.705014,0.094032,-0.464211,1.723168,0.132337,-0.378497,1.773497,0.180237,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.568100,0.714993,0.157741,-0.375721,-0.669495,0.833747,0.357052,0.000787,0.048675,-0.000659,0.053843,0.720858,0.006057,0.000377,-0.030025,0.838830,-0.054732,0.000282,-0.023818,0.850183,0.307505,-0.300142,-0.599194,0.675516,-0.078100,0.795048,0.206003,0.000340,0.032971,-0.001283,0.048825,0.936513,-0.073681,0.000913,-0.020616,0.903083,0.040710,0.000371,-0.028209,0.905272,-0.530329,-0.446165,0.141437,0.706883,-0.429710,1.733662,0.133470,0.000501,-0.049604,0.020154,-0.005023,0.851285,-0.027515,-0.010959,0.019442,0.919061,0.077118,-0.009195,-0.014419,0.853691,-0.710653,0.777970,0.338338,-0.648946,0.834056,0.379332,-0.648816,0.889302,0.353523,-0.113436,0.759494,0.237091,-0.069061,0.869229,0.191008,-0.051799,0.756416,0.189908,-0.448639,1.704970,0.091690,-0.463070,1.722849,0.130374,-0.377443,1.773169,0.178363,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.568885,0.713301,0.154097,-0.379243,-0.666328,0.834642,0.358777,0.000780,0.048675,-0.000659,0.053843,0.727432,0.006057,0.000377,-0.030025,0.839438,-0.054732,0.000282,-0.023818,0.848296,0.308231,-0.297474,-0.600047,0.675608,-0.076740,0.794206,0.204511,0.000328,0.032971,-0.001283,0.048825,0.940806,-0.073681,0.000913,-0.020616,0.907727,0.040710,0.000371,-0.028209,0.905132,-0.543372,-0.447289,0.136912,0.697090,-0.428333,1.733051,0.131864,0.000476,-0.049604,0.020154,-0.005023,0.888178,-0.027515,-0.010959,0.019442,0.880750,0.077118,-0.009195,-0.014419,0.874160,-0.707150,0.778415,0.340587,-0.645735,0.835291,0.381009,-0.646037,0.890297,0.354766,-0.111941,0.758453,0.235557,-0.067818,0.868477,0.189822,-0.050457,0.755686,0.188153,-0.446638,1.703751,0.090581,-0.462038,1.722535,0.128350,-0.376318,1.772869,0.176661,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.569335,0.711664,0.151319,-0.382746,-0.663171,0.835466,0.360339,0.000735,0.048675,-0.000659,0.053843,0.727432,0.006057,0.000377,-0.030025,0.839438,-0.054732,0.000282,-0.023818,0.848296,0.310626,-0.295427,-0.599970,0.675478,-0.075439,0.793337,0.203291,0.000301,0.032971,-0.001283,0.048825,0.940806,-0.073681,0.000913,-0.020616,0.907727,0.040710,0.000371,-0.028209,0.905132,-0.549674,-0.447063,0.133791,0.692887,-0.427041,1.732770,0.130207,0.000371,-0.049604,0.020154,-0.005023,0.888178,-0.027515,-0.010959,0.019442,0.880750,0.077118,-0.009195,-0.014419,0.874160,-0.703752,0.778844,0.342657,-0.642507,0.836400,0.382512,-0.643199,0.891223,0.355877,-0.110531,0.757313,0.234106,-0.066711,0.867730,0.189029,-0.049072,0.754966,0.186737,-0.445268,1.703164,0.089029,-0.460747,1.722584,0.126593,-0.375108,1.772563,0.175003,,,,,,,,,,,,,,,,,,,,,,,,
